pid,version,rid,priority,effect,action,resource_class,subject_class,seq_actions,seq_horizon
DARPA_CADETS_P0_5B,1,A_P0_0000,10,ALLOW,accept,file:none,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0001,10,ALLOW,accept,network,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0002,10,ALLOW,add_object_attribute,network,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0003,10,ALLOW,change_principal,process,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0004,10,ALLOW,close,file:none,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0005,10,ALLOW,close,network,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0006,10,ALLOW,close,pipe,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0007,10,ALLOW,connect,file:none,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0008,10,ALLOW,connect,network,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0009,10,ALLOW,create_object,file:none,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0010,10,ALLOW,create_object,file:usr,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0011,10,ALLOW,create_object,pipe,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0012,10,ALLOW,exit,process,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0013,10,ALLOW,fcntl,file:none,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0014,10,ALLOW,fcntl,other,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0015,10,ALLOW,fcntl,pipe,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0016,10,ALLOW,flows_to,file:none,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0017,10,ALLOW,flows_to,pipe,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0018,10,ALLOW,fork,process,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0019,10,ALLOW,link,file:home,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0020,10,ALLOW,link,file:var,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0021,10,ALLOW,login,other,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0022,10,ALLOW,lseek,file:none,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0023,10,ALLOW,mmap,file:none,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0024,10,ALLOW,modify_file_attributes,file:dev,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0025,10,ALLOW,modify_file_attributes,file:home,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0026,10,ALLOW,modify_file_attributes,file:none,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0027,10,ALLOW,modify_file_attributes,file:tmp,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0028,10,ALLOW,modify_file_attributes,file:usr,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0029,10,ALLOW,modify_file_attributes,file:var,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0030,10,ALLOW,modify_process,process,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0031,10,ALLOW,mprotect,other,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0032,10,ALLOW,open,file:dev,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0033,10,ALLOW,open,file:etc,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0034,10,ALLOW,open,file:home,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0035,10,ALLOW,open,file:root_other,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0036,10,ALLOW,open,file:sbin,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0037,10,ALLOW,open,file:tmp,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0038,10,ALLOW,open,file:usr,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0039,10,ALLOW,open,file:var,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0040,10,ALLOW,open,other,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0041,10,ALLOW,other,other,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0042,10,ALLOW,read,file:dev,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0043,10,ALLOW,read,file:etc,process,,0
