seed,kind,unit,lime_weight,in_intrinsic_core
2026081401,secret_read,e:0,-0.016414064660174643,0
2026081401,secret_read,e:1,0.008213096761504328,0
2026081401,secret_read,e:2,-0.005609686942146268,0
2026081401,secret_read,e:3,0.5345872831860262,1
2026081401,secret_read,r:D_SECRET_READ,0.543014242188354,1
2026081402,system_write,e:0,-0.005362415301398605,0
2026081402,system_write,e:1,-0.001764357410672174,0
2026081402,system_write,e:2,-0.0044442591368038875,0
2026081402,system_write,e:3,0.5430475569620254,1
2026081402,system_write,r:D_SYSTEM_WRITE,0.551265969319637,1
2026081403,system_exec,e:0,-0.011546147800732516,0
2026081403,system_exec,e:1,0.001221191652465625,0
2026081403,system_exec,e:2,0.005902493486107319,0
2026081403,system_exec,e:3,0.5435126297299158,1
2026081403,system_exec,r:D_SYSTEM_EXEC,0.5386897203030026,1
2026081404,scan,e:0,0.15751588336399494,1
2026081404,scan,e:1,0.1586350135105124,1
2026081404,scan,e:2,0.15304136597316015,1
2026081404,scan,r:D_SCAN,0.1649850633243682,1
2026081404,scan,r:A_NETWORK_CONNECT,0.008189131994070488,0
2026081405,secret_read,e:0,-0.010909865428966969,0
2026081405,secret_read,e:1,-0.008646440157395957,0
2026081405,secret_read,e:2,-0.0033962973103562814,0
2026081405,secret_read,e:3,0.5342536171008282,1
2026081405,secret_read,r:D_SECRET_READ,0.5399858251204203,1
2026081406,system_write,e:0,-0.004488455490790812,0
2026081406,system_write,e:1,0.0021855518731681415,0
2026081406,system_write,e:2,-0.0006242852800652773,0
2026081406,system_write,e:3,0.5563634255895205,1
2026081406,system_write,r:D_SYSTEM_WRITE,0.5366322925177561,1
2026081407,system_exec,e:0,-0.005792211193627687,0
2026081407,system_exec,e:1,-0.0059532955840434,0
2026081407,system_exec,e:2,0.005051078584266414,0
2026081407,system_exec,e:3,0.5431430871543802,1
2026081407,system_exec,r:D_SYSTEM_EXEC,0.5362940663298058,1
2026081408,scan,e:0,0.16990853197595443,1
2026081408,scan,e:1,0.16057657259991076,1
2026081408,scan,e:2,0.16360870740768682,1
2026081408,scan,r:D_SCAN,0.16713947634961268,1
2026081408,scan,r:A_NETWORK_CONNECT,0.014052547134372808,0
2026081409,secret_read,e:0,-0.007423521122895899,0
2026081409,secret_read,e:1,0.0011129303584771419,0
2026081409,secret_read,e:2,0.0008896378824364315,0
2026081409,secret_read,e:3,0.5494979338780618,1
2026081409,secret_read,r:D_SECRET_READ,0.5450837562133211,1
2026081410,system_write,e:0,-0.0019755988170164895,0
2026081410,system_write,e:1,-0.0019795643009038605,0
2026081410,system_write,e:2,-0.003738084339094914,0
2026081410,system_write,e:3,0.5442275482149871,1
2026081410,system_write,r:D_SYSTEM_WRITE,0.5537303279045547,1
2026081411,system_exec,e:0,0.00036577529245531386,0
2026081411,system_exec,e:1,0.001094188681291814,0
2026081411,system_exec,e:2,-0.0058024574088031515,0
2026081411,system_exec,e:3,0.5377471355348564,1
2026081411,system_exec,r:D_SYSTEM_EXEC,0.5442813602564495,1
2026081412,scan,e:0,0.15985267781218973,1
2026081412,scan,e:1,0.1594173406972245,1
2026081412,scan,e:2,0.16284893010480375,1
2026081412,scan,r:D_SCAN,0.1598997535323167,1
2026081412,scan,r:A_NETWORK_CONNECT,-0.017743609353265296,0
2026081413,secret_read,e:0,0.007359664773880697,0
2026081413,secret_read,e:1,0.0016108282863606625,0
2026081413,secret_read,e:2,-0.0025486541754970683,0
2026081413,secret_read,e:3,0.5509106377871098,1
2026081413,secret_read,r:D_SECRET_READ,0.539176497661529,1
2026081414,system_write,e:0,0.006078632309603937,0
2026081414,system_write,e:1,-0.00858241656554652,0
2026081414,system_write,e:2,-0.0031385529090817922,0
2026081414,system_write,e:3,0.5509497995129996,1
2026081414,system_write,r:D_SYSTEM_WRITE,0.5417898580896641,1
2026081415,system_exec,e:0,-0.0028164063575304467,0
2026081415,system_exec,e:1,0.012444946518694542,0
2026081415,system_exec,e:2,-0.001288152491326794,0
2026081415,system_exec,e:3,0.5561618627434248,1
2026081415,system_exec,r:D_SYSTEM_EXEC,0.5396012522000262,1
2026081416,scan,e:0,0.1627638667994648,1
2026081416,scan,e:1,0.16614837586720604,1
2026081416,scan,e:2,0.16486457671633914,1
2026081416,scan,r:D_SCAN,0.1688833182904249,1
2026081416,scan,r:A_NETWORK_CONNECT,0.006806386207519554,0
2026081417,secret_read,e:0,0.006051722628083572,0
2026081417,secret_read,e:1,-0.0029644585136848656,0
2026081417,secret_read,e:2,-0.0010221339867020965,0
2026081417,secret_read,e:3,0.5473162986479411,1
2026081417,secret_read,r:D_SECRET_READ,0.541441302224508,1
2026081418,system_write,e:0,0.008361685385613367,0
2026081418,system_write,e:1,-0.004140086336134163,0
2026081418,system_write,e:2,0.005288408997383725,0
2026081418,system_write,e:3,0.5355174071659515,1
2026081418,system_write,r:D_SYSTEM_WRITE,0.5281860102205131,1
2026081419,system_exec,e:0,-3.0991724795492763e-05,0
2026081419,system_exec,e:1,0.0009229338887881654,0
2026081419,system_exec,e:2,0.001675579020587328,0
2026081419,system_exec,e:3,0.543901318294512,1
2026081419,system_exec,r:D_SYSTEM_EXEC,0.5409185596242952,1
2026081420,scan,e:0,0.1542457115718246,1
2026081420,scan,e:1,0.15936625115510894,1
2026081420,scan,e:2,0.15032097043179338,1
2026081420,scan,r:D_SCAN,0.15667291610088188,1
2026081420,scan,r:A_NETWORK_CONNECT,-0.004565217936322997,0
2026081421,secret_read,e:0,0.015042634161724815,0
2026081421,secret_read,e:1,0.005046011137550611,0
2026081421,secret_read,e:2,0.0025141500818374315,0
2026081421,secret_read,e:3,0.5359756431641676,1
2026081421,secret_read,r:D_SECRET_READ,0.5332953678650947,1
2026081422,system_write,e:0,-0.006711171303205007,0
2026081422,system_write,e:1,0.0016568577273704144,0
2026081422,system_write,e:2,-0.0039666558883464246,0
2026081422,system_write,e:3,0.5285848833185867,1
2026081422,system_write,r:D_SYSTEM_WRITE,0.5269837527304306,1
2026081423,system_exec,e:0,0.0013074054276976295,0
2026081423,system_exec,e:1,0.0008422174248042607,0
2026081423,system_exec,e:2,0.004378319417579712,0
2026081423,system_exec,e:3,0.5399094405037288,1
2026081423,system_exec,r:D_SYSTEM_EXEC,0.5378313319248366,1
2026081424,scan,e:0,0.1567332376583755,1
2026081424,scan,e:1,0.15377382971464096,1
2026081424,scan,e:2,0.1548233201968301,1
2026081424,scan,r:D_SCAN,0.15835242598950597,1
2026081424,scan,r:A_NETWORK_CONNECT,6.448533534843215e-05,0
2026081425,secret_read,e:0,0.0008354944264645747,0
2026081425,secret_read,e:1,-0.001541841909540202,0
2026081425,secret_read,e:2,0.004310577274304308,0
2026081425,secret_read,e:3,0.5520991457709478,1
2026081425,secret_read,r:D_SECRET_READ,0.5453826952376533,1
2026081426,system_write,e:0,0.005780638441215434,0
2026081426,system_write,e:1,0.0035288908297195307,0
2026081426,system_write,e:2,0.0023442184279867904,0
2026081426,system_write,e:3,0.541913092977387,1
2026081426,system_write,r:D_SYSTEM_WRITE,0.5357132189967835,1
2026081427,system_exec,e:0,-0.005979297644504948,0
2026081427,system_exec,e:1,0.007475666994787636,0
2026081427,system_exec,e:2,-0.0028035788805780217,0
2026081427,system_exec,e:3,0.5526457440672542,1
2026081427,system_exec,r:D_SYSTEM_EXEC,0.5519787127145445,1
2026081428,scan,e:0,0.17060916122368408,1
2026081428,scan,e:1,0.16453669105006966,1
2026081428,scan,e:2,0.15855888329726384,1
2026081428,scan,r:D_SCAN,0.1610082688080254,1
2026081428,scan,r:A_NETWORK_CONNECT,0.007702585046229771,0
2026081429,secret_read,e:0,-0.007732301777798315,0
2026081429,secret_read,e:1,-0.0022375662776130353,0
2026081429,secret_read,e:2,-0.0035173889054945224,0
2026081429,secret_read,e:3,0.5405413147892459,1
2026081429,secret_read,r:D_SECRET_READ,0.5427554264350154,1
2026081430,system_write,e:0,-0.00020051370287096738,0
2026081430,system_write,e:1,0.009739529918548312,0
2026081430,system_write,e:2,-0.009697225426158178,0
2026081430,system_write,e:3,0.5405000661253556,1
2026081430,system_write,r:D_SYSTEM_WRITE,0.5521882846867223,1
2026081501,system_exec,e:0,-0.015887604276925493,0
2026081501,system_exec,e:1,-0.0008046562437628455,0
2026081501,system_exec,e:2,0.0033460042260959845,0
2026081501,system_exec,e:3,0.5434479761452454,1
2026081501,system_exec,r:D_SYSTEM_EXEC,0.5439881498598228,1
2026081502,scan,e:0,0.15702881386124398,1
2026081502,scan,e:1,0.15684123723354162,1
2026081502,scan,e:2,0.15479863233185948,1
2026081502,scan,r:D_SCAN,0.15777400125962354,1
2026081502,scan,r:A_NETWORK_CONNECT,0.010492216484883311,0
