sid,sent_ts,label,scenario,http_status,episode_id
4e1d34ef-c45a-2e5f-cc25-3ce3aeee1936,1786797297.9542592,1,bruteforce,401,b8cdba67-9649-5578-c8d7-50577ca4a3bf
8541223d-880e-fc2d-3500-cbeb94200727,1786797297.977538,1,bruteforce,401,b8cdba67-9649-5578-c8d7-50577ca4a3bf
7351166c-0a59-955b-a446-eb04b5843eb0,1786797297.9932656,1,bruteforce,401,b8cdba67-9649-5578-c8d7-50577ca4a3bf
0c91fcdb-b807-d361-a0af-e8f7d91c393f,1786797298.0095181,1,bruteforce,401,b8cdba67-9649-5578-c8d7-50577ca4a3bf
f05adf73-0cd6-36e6-ac78-667b8925d43f,1786797298.016507,1,bruteforce,401,b8cdba67-9649-5578-c8d7-50577ca4a3bf
3d53f074-af4c-78e4-85e4-191fe8872f38,1786797298.0299315,1,command_probe,400,3d53f074-af4c-78e4-85e4-191fe8872f38
0749ee11-1c02-dd6f-7383-52021a6b4774,1786797298.0438552,0,benign_status,200,0749ee11-1c02-dd6f-7383-52021a6b4774
ac74d634-77d2-6b75-3fa1-3786abc8eb34,1786797298.0531328,0,benign_login,200,ac74d634-77d2-6b75-3fa1-3786abc8eb34
703fcc99-f0fb-a22e-53fb-51148b2bd79d,1786797298.0607734,0,benign_public,200,703fcc99-f0fb-a22e-53fb-51148b2bd79d
29f5f023-2057-f16b-658b-de9853287546,1786797298.0684683,0,benign_login,200,29f5f023-2057-f16b-658b-de9853287546
8fe5e8ae-24f1-4586-1803-878b0fc44f03,1786797298.0771372,1,admin_probe,403,8fe5e8ae-24f1-4586-1803-878b0fc44f03
64a8c7c7-4a3f-f504-4759-0aabd8af67a7,1786797298.0845668,0,benign_status,200,64a8c7c7-4a3f-f504-4759-0aabd8af67a7
d4dac450-0e84-fc56-dbd1-acef05fd4641,1786797298.090401,0,benign_status,200,d4dac450-0e84-fc56-dbd1-acef05fd4641
a6745c7c-b3ba-7249-90cd-9480d06e1efd,1786797298.1060922,0,benign_login,200,a6745c7c-b3ba-7249-90cd-9480d06e1efd
2ae9c5ca-ba45-15ab-7da0-4009cf2bec0c,1786797298.1164007,0,benign_public,200,2ae9c5ca-ba45-15ab-7da0-4009cf2bec0c
5696f5f3-1c49-b841-7934-11ea0d2e9114,1786797298.1265078,0,benign_public,200,5696f5f3-1c49-b841-7934-11ea0d2e9114
ad04e430-d6a3-3dea-a52b-d4986340676f,1786797298.1430182,0,benign_public,200,ad04e430-d6a3-3dea-a52b-d4986340676f
6159b9e9-02da-139a-803d-be7f2cf0c180,1786797298.1526701,0,benign_public,200,6159b9e9-02da-139a-803d-be7f2cf0c180
7f2414b7-aced-5ca5-5169-5ce4d6f10bc1,1786797298.1678777,0,benign_public,200,7f2414b7-aced-5ca5-5169-5ce4d6f10bc1
d241ced3-d23e-db00-1ef0-fa452246f4cb,1786797298.1802142,0,benign_status,200,d241ced3-d23e-db00-1ef0-fa452246f4cb
82e7d447-d8ec-c9af-f532-7e7d35c629db,1786797298.1849644,0,benign_login,200,82e7d447-d8ec-c9af-f532-7e7d35c629db
39f09a28-79be-6ca8-ed7c-bebc9e728551,1786797298.1920743,0,benign_status,200,39f09a28-79be-6ca8-ed7c-bebc9e728551
05bff5d2-fdc3-f3cb-8d2c-18c8e3daada5,1786797298.1986434,0,benign_public,200,05bff5d2-fdc3-f3cb-8d2c-18c8e3daada5
1db2ec36-d030-0863-aee2-0535542b38e3,1786797298.2078674,0,benign_status,200,1db2ec36-d030-0863-aee2-0535542b38e3
d455197d-8a0c-4f15-8481-ff224fae02bd,1786797298.2246099,0,benign_public,200,d455197d-8a0c-4f15-8481-ff224fae02bd
a78d4ee8-6650-ef94-9f50-7cafa06ef399,1786797298.2411473,0,benign_public,200,a78d4ee8-6650-ef94-9f50-7cafa06ef399
c95e009e-3955-03f1-6a91-a918e87fe6d5,1786797298.2499413,0,benign_public,200,c95e009e-3955-03f1-6a91-a918e87fe6d5
f5be174b-d33e-b1f9-5064-0c21d10c3afa,1786797298.2569306,0,benign_login,200,f5be174b-d33e-b1f9-5064-0c21d10c3afa
500708e1-3086-ab57-7ffc-b87cc87f02a9,1786797298.272643,0,benign_status,200,500708e1-3086-ab57-7ffc-b87cc87f02a9
5e552afc-ee10-5ec4-3743-295e29a5aa06,1786797298.2830648,0,benign_public,200,5e552afc-ee10-5ec4-3743-295e29a5aa06
7f6999b8-dd7f-6863-2c5a-f94922b741ad,1786797298.2908947,0,benign_status,200,7f6999b8-dd7f-6863-2c5a-f94922b741ad
e23b3bbe-2997-e02c-988e-6d4f1d7d8d32,1786797298.303577,0,benign_status,200,e23b3bbe-2997-e02c-988e-6d4f1d7d8d32
6ee3be0f-8b8e-6b77-e502-7be401bc9eb7,1786797298.3075874,0,benign_public,200,6ee3be0f-8b8e-6b77-e502-7be401bc9eb7
69877b4f-7195-7572-e46b-90144a61de55,1786797298.3206677,1,bruteforce,401,d2ec98bf-4fc8-86c2-0426-5f7bc7dd332c
02ebf1c7-e728-b295-fee0-ade1a653d1f4,1786797298.3279707,1,bruteforce,401,d2ec98bf-4fc8-86c2-0426-5f7bc7dd332c
8a397b21-159e-728b-757f-6dcb14a273f1,1786797298.3356123,1,bruteforce,401,d2ec98bf-4fc8-86c2-0426-5f7bc7dd332c
8848e8cc-c9be-4924-7c1c-49f4b2204f2c,1786797298.3401656,1,bruteforce,401,d2ec98bf-4fc8-86c2-0426-5f7bc7dd332c
3a3f628e-1532-d2ec-14b9-aad3884986e0,1786797298.3563838,1,bruteforce,401,d2ec98bf-4fc8-86c2-0426-5f7bc7dd332c
f4e0f877-ee7f-744c-04aa-eebcb57fe956,1786797298.370687,0,benign_login,200,f4e0f877-ee7f-744c-04aa-eebcb57fe956
